Hillary Clinton,0.81,2016-03-10.23:50:06
Bernie Sanders,0.19,2016-03-10.23:50:06
Joe Biden,0.05,2016-03-10.23:50:06
Elizabeth Warren,0.01,2016-03-10.23:50:06
Martin O'Malley,0.01,2016-03-10.23:50:06
Jerry Brown,0.01,2016-03-10.23:50:06
Bill de Blasio,0.01,2016-03-10.23:50:06
Jim Webb,0.01,2016-03-10.23:50:06
Lincoln Chafee,0.01,2016-03-10.23:50:06
Al Gore,0.01,2016-03-10.23:50:06
Hillary Clinton,0.81,2016-03-11.00:05:17
Bernie Sanders,0.19,2016-03-11.00:05:17
Joe Biden,0.05,2016-03-11.00:05:17
Elizabeth Warren,0.01,2016-03-11.00:05:17
Martin O'Malley,0.01,2016-03-11.00:05:17
Jerry Brown,0.01,2016-03-11.00:05:17
Bill de Blasio,0.01,2016-03-11.00:05:17
Jim Webb,0.01,2016-03-11.00:05:17
Lincoln Chafee,0.01,2016-03-11.00:05:17
Al Gore,0.01,2016-03-11.00:05:17
Hillary Clinton,0.81,2016-03-11.00:05:31
Bernie Sanders,0.19,2016-03-11.00:05:31
Joe Biden,0.05,2016-03-11.00:05:31
Elizabeth Warren,0.01,2016-03-11.00:05:31
Martin O'Malley,0.01,2016-03-11.00:05:31
Jerry Brown,0.01,2016-03-11.00:05:31
Bill de Blasio,0.01,2016-03-11.00:05:31
Jim Webb,0.01,2016-03-11.00:05:31
Lincoln Chafee,0.01,2016-03-11.00:05:31
Al Gore,0.01,2016-03-11.00:05:31
Hillary Clinton,0.81,2016-03-11.00:17:36
Bernie Sanders,0.19,2016-03-11.00:17:36
Joe Biden,0.05,2016-03-11.00:17:36
Elizabeth Warren,0.01,2016-03-11.00:17:36
Martin O'Malley,0.01,2016-03-11.00:17:36
Jerry Brown,0.01,2016-03-11.00:17:36
Bill de Blasio,0.01,2016-03-11.00:17:36
Jim Webb,0.01,2016-03-11.00:17:36
Lincoln Chafee,0.01,2016-03-11.00:17:36
Al Gore,0.01,2016-03-11.00:17:36
Hillary Clinton,0.81,2016-03-11.00:21:31
Bernie Sanders,0.19,2016-03-11.00:21:31
Joe Biden,0.05,2016-03-11.00:21:31
Elizabeth Warren,0.01,2016-03-11.00:21:31
Martin O'Malley,0.01,2016-03-11.00:21:31
Jerry Brown,0.01,2016-03-11.00:21:31
Bill de Blasio,0.01,2016-03-11.00:21:31
Jim Webb,0.01,2016-03-11.00:21:31
Lincoln Chafee,0.01,2016-03-11.00:21:31
Al Gore,0.01,2016-03-11.00:21:31
Hillary Clinton,0.81,2016-03-11.00:26:47
Bernie Sanders,0.19,2016-03-11.00:26:47
Joe Biden,0.05,2016-03-11.00:26:47
Elizabeth Warren,0.01,2016-03-11.00:26:47
Martin O'Malley,0.01,2016-03-11.00:26:47
Jerry Brown,0.01,2016-03-11.00:26:47
Bill de Blasio,0.01,2016-03-11.00:26:47
Jim Webb,0.01,2016-03-11.00:26:47
Lincoln Chafee,0.01,2016-03-11.00:26:47
Al Gore,0.01,2016-03-11.00:26:47
Hillary Clinton,0.81,2016-03-11.09:04:42
Bernie Sanders,0.19,2016-03-11.09:04:42
Joe Biden,0.05,2016-03-11.09:04:42
Elizabeth Warren,0.01,2016-03-11.09:04:42
Martin O'Malley,0.01,2016-03-11.09:04:42
Jerry Brown,0.01,2016-03-11.09:04:42
Bill de Blasio,0.01,2016-03-11.09:04:42
Jim Webb,0.01,2016-03-11.09:04:42
Lincoln Chafee,0.01,2016-03-11.09:04:42
Al Gore,0.01,2016-03-11.09:04:42
Hillary Clinton,0.81,2016-03-11.09:06:09
Bernie Sanders,0.19,2016-03-11.09:06:09
Joe Biden,0.05,2016-03-11.09:06:09
Elizabeth Warren,0.01,2016-03-11.09:06:09
Martin O'Malley,0.01,2016-03-11.09:06:09
Jerry Brown,0.01,2016-03-11.09:06:09
Bill de Blasio,0.01,2016-03-11.09:06:09
Jim Webb,0.01,2016-03-11.09:06:09
Lincoln Chafee,0.01,2016-03-11.09:06:09
Al Gore,0.01,2016-03-11.09:06:09
Hillary Clinton,0.81,2016-03-12.02:54:00
Bernie Sanders,0.18,2016-03-12.02:54:00
Joe Biden,0.04,2016-03-12.02:54:00
Elizabeth Warren,0.01,2016-03-12.02:54:00
Martin O'Malley,0.01,2016-03-12.02:54:00
Jerry Brown,0.01,2016-03-12.02:54:00
Bill de Blasio,0.01,2016-03-12.02:54:00
Jim Webb,0.01,2016-03-12.02:54:00
Lincoln Chafee,0.01,2016-03-12.02:54:00
Al Gore,0.01,2016-03-12.02:54:00
Hillary Clinton,0.81,2016-03-12.10:10:12
Bernie Sanders,0.18,2016-03-12.10:10:12
Joe Biden,0.04,2016-03-12.10:10:12
Elizabeth Warren,0.01,2016-03-12.10:10:12
Martin O'Malley,0.01,2016-03-12.10:10:12
Jerry Brown,0.01,2016-03-12.10:10:12
Bill de Blasio,0.01,2016-03-12.10:10:12
Jim Webb,0.01,2016-03-12.10:10:12
Lincoln Chafee,0.01,2016-03-12.10:10:12
Al Gore,0.01,2016-03-12.10:10:12
Hillary Clinton,0.81,2016-03-12.14:11:51
Bernie Sanders,0.18,2016-03-12.14:11:51
Joe Biden,0.04,2016-03-12.14:11:51
Elizabeth Warren,0.01,2016-03-12.14:11:51
Martin O'Malley,0.01,2016-03-12.14:11:51
Jerry Brown,0.01,2016-03-12.14:11:51
Bill de Blasio,0.01,2016-03-12.14:11:51
Jim Webb,0.01,2016-03-12.14:11:51
Lincoln Chafee,0.01,2016-03-12.14:11:51
Al Gore,0.01,2016-03-12.14:11:51
Hillary Clinton,0.81,2016-03-12.15:07:56
Bernie Sanders,0.18,2016-03-12.15:07:56
Joe Biden,0.04,2016-03-12.15:07:56
Elizabeth Warren,0.01,2016-03-12.15:07:56
Martin O'Malley,0.01,2016-03-12.15:07:56
Jerry Brown,0.01,2016-03-12.15:07:56
Bill de Blasio,0.01,2016-03-12.15:07:56
Jim Webb,0.01,2016-03-12.15:07:56
Lincoln Chafee,0.01,2016-03-12.15:07:56
Al Gore,0.01,2016-03-12.15:07:56
Hillary Clinton,0.81,2016-03-12.17:30:04
Bernie Sanders,0.18,2016-03-12.17:30:04
Joe Biden,0.04,2016-03-12.17:30:04
Elizabeth Warren,0.01,2016-03-12.17:30:04
Martin O'Malley,0.01,2016-03-12.17:30:04
Jerry Brown,0.01,2016-03-12.17:30:04
Bill de Blasio,0.01,2016-03-12.17:30:04
Jim Webb,0.01,2016-03-12.17:30:04
Lincoln Chafee,0.01,2016-03-12.17:30:04
Al Gore,0.01,2016-03-12.17:30:04
Hillary Clinton,0.81,2016-03-12.18:05:15
Bernie Sanders,0.18,2016-03-12.18:05:15
Joe Biden,0.04,2016-03-12.18:05:15
Elizabeth Warren,0.01,2016-03-12.18:05:15
Martin O'Malley,0.01,2016-03-12.18:05:15
Jerry Brown,0.01,2016-03-12.18:05:15
Bill de Blasio,0.01,2016-03-12.18:05:15
Jim Webb,0.01,2016-03-12.18:05:15
Lincoln Chafee,0.01,2016-03-12.18:05:15
Al Gore,0.01,2016-03-12.18:05:15
Hillary Clinton,0.81,2016-03-12.19:17:10
Bernie Sanders,0.18,2016-03-12.19:17:10
Joe Biden,0.04,2016-03-12.19:17:10
Elizabeth Warren,0.01,2016-03-12.19:17:10
Martin O'Malley,0.01,2016-03-12.19:17:10
Jerry Brown,0.01,2016-03-12.19:17:10
Bill de Blasio,0.01,2016-03-12.19:17:10
